record_type,rank,models,handle,title,type,us_listed,us_in_stock,us_price,ca_listed,ca_in_stock,ca_price,current_model_tags,legacy_model_tags,discontinued_models_listed,n_discontinued_listed,page_fit_text,evidence_count,best_quotes,oem_status,competitor_price_band,class_abc,liability,h2s_printability,suggested_next
gap,1,RadRover 6 Plus (HS/ST); RadCity 5 Plus (HS/ST); RadRunner 3 Plus (Rad UI Remote bikes),,Rad UI Remote / UI Display handlebar clamp (replacement) + snap-on protective cover,,,,,,,,,,,,,Yotpo 11 relevant (clamp/mount broke 8; cover/waterproof wish 3); DIY 1 (wire tie). YouTube 0 direct.,"425697954 2022-12-16 ""The clamp holding the smaller digital power screen to the handle bar was cracked. I have been using a wire tie to hold it on.""; 421429203 2022-11-28 ""Bracket on speed control has broken twice.""; 475594244 2023-06-11 ""The PAS control screen handlebar mount ring broke at the screw mount after normal use.""; 717913183 2025-06-13 ""have broken part ( that connects screen to handle bars)... called but no response.""; 387319502 2022-07-22 (Rad UI Remote) ""I wish it had protection cover and was waterproof.""",Removed: Rad UI Remote & Rad UI Display spare listings no longer in products.json; standalone clamp never seen listed,"Covers: Etsy $7.95-$19.99 (1386731282, 1163000482, 1327914181); Amazon RR6+ dashboard covers $21.99-$23.99; Printables UI bracket (price NEEDS DATA). Full remote: Bikeshop West $99 (in stock).",(c) non-load accessory,"Low. Not throttle, not battery. Clamp holds a small remote (OEM clamp bolts 3 mm hex, 3 Nm per 2021 RR6+ manual). Keep off brake-lever clamp; do not seal/enclose electronics (cover must drain).","Yes, easily (parts <60 mm). ASA/PETG clamp, TPU cover.",DESIGN
gap,2,"RadRunner Plus (original 2020-2024, owner bike); also other Premium-Headlight bikes using Rad Front Rack / front-mounted baskets",,Premium Headlight relocation bracket (under Front Rack / on fork-arch bolt) with wire strain relief,,,,,,,,,,,,,"Yotpo 45 hits, 17 WTB/DIY (2021: 15, 2022: 13, 2023: 12, 2024: 4, 2025: 1)","424013553 2022-12-09 (RadRunner Plus) ""I do wish I could run the front rack with the deluxe headlight. I do think a simple bracket could be designed...""; 281785675 2021-08-10 (Premium Headlight) ""Rad does say they have no bracket for the light""; 239788662 2021-03-19 (Front Rack) ""I had a local auto body shop fabricate a bracket for me""; 271745759 2021-06-30 ""I plan to fabricate my own bracket.""; 244885130 2021-04-11 ""tied on with zip ties and duct tape""","Never offered. Rad fit text: Front Rack ""NOT compatible with the Premium Headlight"" (buy Standard headlight $44 as workaround)","Printables free STL ""Rad Runner Premium Headlight bracket"" (id 657351, 32 downloads). Paid competitor price NEEDS DATA.",(c) non-load accessory (light mount),"Medium. A failed bracket can drop the lamp near the spokes (224327340 2021-01-14). Needs metal fasteners, wire tether, vibration test. Not a load path.",Yes (roughly 80x40x30 mm). ASA or CF-nylon.,DESIGN
gap,3,RadRover 6 Plus (HS/ST); partly RadRunner 3 Plus,,Cockpit accessory mount (stem-cap or short extender) for mirror/phone where Rad Mirror/GUB are officially incompatible,,,,,,,,,,,,,Yotpo 19 RR6+ wish reviews (6 WTB); 74 RR6-mention mirror/phone reviews; GUB negative-fit reviews >=4,"534053385 2023-12-31 ""Love the bike only wish they made a mirror to fit the bike""; 658272467 2024-12-11 ""just wish they offered more accessories like a phone holder and a rear view mirror.""; 485695569 2023-07-25 ""Mirrors would be an excellent accessory but not available from Rad.""; 420968992 2022-11-25 ""Wish there was an attachment for a phone mount""; 505131882 2023-09-26 ""handlebar extenders to mount the cup holder & phone holder""","Never offered for RR6+. Rad Mirror and GUB PRO-3 fit text exclude RR6+ (""limited handlebar space"")",Mirrors bought in: Amazon $22.99-$26.87; MakerWorld free RadRunner handlebar extender. Paid printed mount NEEDS DATA.,(c) non-load accessory,"Low-medium. Phone-mass clamp; must not crowd brake levers/UI remote; mirror head bought in, not printed.",Yes,DESIGN (gated: RR6+ fit data NEEDS DATA; prototype on owner RR3+ UI cockpit)
gap,4,RadRover 6 Plus; RadCity 5 Plus (no bottle bosses),,Frame/seatpost bottle-cage adapter,,,,,,,,,,,,,"Yotpo 43 hits, 8 WTB/DIY (mostly 2022-2023)","477381857 2023-06-16 ""I wish there was a bottle holder hole or accessory.""; 469253552 2023-05-14 ""I don't get the No place for water cage change! Please bring that back.""; 595124431 2024-06-30 ""velcro attached carrier that i purchased from Amazon""","Rad Water Bottle Holder in stock $20 but ""Not compatible with RadRover Plus models"" and conflicts on RadCity Plus","Etsy ""RAD POWER BIKE Bottle Holder Mounting Bracket"" $31.98 (547 favs, 4 reviews); GZila/Ride And Carry (price NEEDS DATA this run)",(c) non-load accessory,Low-medium (bottle mass on frame clamp; must not touch battery shell).,Yes,WATCH (strong incumbent)
gap,5,RadRover 6 Plus (with Rad rear rack); RadRover 5,,Rack-to-fender anti-rattle bumper + taillight-wire clip (NOT fender stays),,,,,,,,,,,,,"Yotpo 52 fender/rattle hits on RadRover products, 7 WTB/DIY","424973834 2022-12-13 ""the fender moving against it... it should come with self stick pads""; 494638730 2023-08-18 ""rear fender rattles against the rear rack... Fixed it with some sticky back foam gasket.""; 498880109 2023-09-07 (support bar) ""Told my part was not available and was not going to become available.""",RadRover Full Fenders removed (404); RadRover Rear Rack OOS US+CA; fender hardware kits removed,Fenders: Bikeshop West RR6 front/rear $39 each. Bumper/clip competitor NEEDS DATA.,(c) non-load accessory,Low for the bumper/clip. Fender stays/support bars: excluded (failure can jam wheel).,Yes (tiny),WATCH
gap,6,RadCity 5 Plus; RadRover 6 Plus; RadRunner 2; RadCity 4,,Chainring guard / pant guard,,,,,,,,,,,,,"Yotpo 14 hits, 2 WTB; YouTube 2023 comment threads on RC5+ and pants/grease","541040570 2024-01-31 (RR6+) ""Wish there was a chain guard""; 577202501 2024-05-01 (RR2) ""Could use a chain guard.""; 315423475 2021-11-27 (RC4) ""No Chain Guard?... Can one be added on without looking silly?""",Never offered as accessory (none in US/CA catalog),"MakerWorld free ""RadExpand 5 Chain Ring Guard"" (0 downloads); Amazon generic CHAINBOW $34.02",(c) non-load accessory next to drivetrain,Medium (a failed guard could jam the chain). Needs chainring/BB dims (NEEDS DATA).,Likely (ring guard <=220 mm),KEEP_HUNTING
gap,7,"RadWagon 4; New RadWagon (MY25, reuses RW4 frame per Electrek 2026-01-13)",,Center-stand retention clip/stabilizer,,,,,,,,,,,,,"Yotpo 47 kickstand hits on RadWagon products, 3 WTB/DIY; Etsy listing reviews corroborate (not counted)","224396244 2021-01-14 ""a faulty kickstand that kept throwing springs""; 224458720 2021-01-14 ""springs that hold kickstand"" came off",Rad Kickstand spare $40 in stock (lists RW4); Bikeshop West RW4 spring $10,"Crowded: Etsy StandKeeper $15.00 (20 reviews), Etsy stabilizer $19.99; Amazon >=8 RW4 holders $14.99-$19.99 incl. a 3D-printed one at $15.99",(c) retention clip,"Medium: with broken springs the clip becomes the only retention. If it fails, the stand could drop while riding.",Yes,WATCH (crowded)
gap,8,RadRunner Plus (original),,Full front/rear fenders,,,,,,,,,,,,,"Yotpo 6 hits, 0 WTB","379402527 2022-06-17 ""no front fender on my bike STILL""; 486621760 2023-07-27 ""the fender is lose and rattles""","Never offered separately. RadRunner Full Fenders fit text: ""Not compatible with the RadRunner Plus. Please contact us if you need replacement fenders.""","Amazon generic RR+ fender sets $39.99-$75.99 (e.g., B0HG9LZ4GW ""RadRunner Plus Gen2 2020-2023"" $43.99)","(c), but fender stays count as structural",Medium-high (stays and wheel jam). Too large for a single print.,"No (the arc is longer than 340 mm, so it would need segments)",DROP
gap,9,Legacy external-battery bikes (RadMini etc.),,Charge-port / terminal caps,,,,,,,,,,,,,"Yotpo 91 hits, 3 WTB","344020396 2022-03-04 ""These do not fit my 2 Rad Mini's... Please make these for the entire fleet.""","In stock at Rad ($5 port cover, $20 terminal cover)",Etsy $4.00-$20.00 (battery cap $10.99 with 396 favs); Amazon 12+ listings $19.90-$30.00; free STLs,(c) near the battery,Battery-adjacent. Not a launch SKU (no battery enclosures).,Yes,DROP
gap,10,"RadMini, RadRover (legacy), all 2018+",,Medium Front-Mounted Basket / Hardshell Locking Box / RadMini Rear Rack (discontinued),,,,,,,,,,,,,"Yotpo discontinued-wish reviews: 774444052 2025-10-28, 506182303 2023-09-29, 656830163 2024-12-05, 397704686 2022-08-26","774444052 2025-10-28 ""I'm disappointed you discontinued the medium size.""",Removed,n/a,(b) load mount,"Load path, so never a launch SKU",Partly,DROP
