rank,keyword,search_volume,competition,competition_index,cpc,low_top_of_page_bid,high_top_of_page_bid,source,city,location_name,fetched_at
1,fdm 3d printing,390,LOW,8,1.09,,,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
2,3d printing service,320,LOW,18,8.23,1.37,13.39,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
3,3d print service,320,LOW,18,8.23,1.37,13.39,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
4,online 3d printing service,210,MEDIUM,60,4.54,0.82,4.05,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
5,fdm printing,50,HIGH,84,3.23,1.1,11.13,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
6,3d printing service near me,40,LOW,18,1.95,,,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
7,sla 3d printing,40,HIGH,69,,,,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
8,3d printer filament near me,40,HIGH,100,0.35,0.77,2.23,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
9,3d filament near me,40,HIGH,100,0.35,0.77,2.23,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
10,additive printing,40,LOW,16,,1.83,6.19,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
11,3d print shop near me,30,HIGH,77,1.47,1.37,6,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
12,fused deposition modeling fdm 3d printing,30,,,,,,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
13,sls 3d printing,20,MEDIUM,65,3.32,2.03,7.96,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
14,3d print shop,20,MEDIUM,56,3.47,1.1,6.28,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
15,sls 3d printing service,20,,,,,,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
16,3d print lego,20,LOW,9,0.88,,,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
17,3 d print shop,20,MEDIUM,56,3.47,1.1,6.28,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
18,additive manufacturing service,10,LOW,0,,,,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
19,3d printing service phoenix,10,MEDIUM,55,5.43,1.01,8.98,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
20,metal 3d printing service,10,MEDIUM,38,17.91,4.22,13.18,keywords_for_keywords,"Phoenix, AZ","Phoenix,Arizona,United States",2026-08-01T06:52:31Z
