product,category,printables_downloads,printables_makes,printables_likes,printables_models_sampled,printables_top_downloads,printables_top_name,cults_downloads,cults_makes,cults_likes,cults_models_sampled,cults_top_downloads,cults_top_name,community_downloads,community_makes,community_likes,notes
Rad Power Bikes battery terminal / fuse cover,rad_power_bikes,ERR,ERR,ERR,0,ERR,,103,0,4,4,47,Rad Power Bikes battery and charger wall mount,103,0,4,printables:no models found
Rad Power charging port dust cap,rad_power_bikes,507,4,36,4,227,Cube Reaction Hybrid e-bike charging port cover (Bosch),250,0,5,4,211,Bosch e-bike simple charging port cover for Cube Kathmandu,757,4,41,
Rad Power cargo net hooks,rad_power_bikes,232,1,43,4,165,Woom kid bike hook to be carried at a cargo bike.,38,0,0,3,32,Replacement bungie cargo net hook,270,1,43,
Rad Power kickstand foot / base widener,rad_power_bikes,4585,36,1494,4,4411,Bike Stand / KickStand for Racing Bike,112,0,4,4,78,RAD Power Bikes - PAS Control Module - HD Replacement Clip - Radrover & Radrunner,4697,36,1498,
Rad Power display / phone mount,rad_power_bikes,5517,39,1062,4,2488,Scooter / Bike Phone Stand Mount (M365),214,0,14,4,135,Bike handlebar phone mount v2,5731,39,1076,
MTB chain guide / bash guard,mtb_general,144,0,31,4,78,MTB Chain guide for 36T chainring (Raymon ebike),154,0,7,4,77,UNNO MITH Chain Guide – 3D Printable Replacement Chainguide for MTB / eMTB,298,0,38,
MTB cable/hose routing clips,mtb_general,1110,8,182,4,511,Minimalist Bike Cable Housing Clips (Parametric),847,0,4,4,782,Bicycle Top cap with cable routing,1957,8,186,
MTB frame protector / chainstay guard,mtb_general,390,3,92,4,183,TPU/PLA Bike Chainstay Protector [Designed for Aventon Level 2],30,0,2,4,30,Mountain Bike Rear Mudguard Fender,420,3,94,
GoPro / action cam mount for MTB helmet or bars,mtb_general,249,0,51,4,70,Yet another gopro MTB mount,652,0,52,4,302,Gopro MTB Handlebar Mount,901,0,103,
Fender / mudguard bracket,mtb_general,381,2,81,4,232,Bicycle fenders clips (bike mudguard mount),2293,0,7,4,2200,Motocross / Enduro Bike Front Fender Mounting Bracket,2674,2,88,
FPV drone GoPro / action-cam mount,drone_fpv,468,3,42,4,188,Super simple fpv GoPro mount,566,0,15,4,171,GepRC mark5(GEP-MK5) GoPro mount,1034,3,57,
FPV drone arm / frame crash guard,drone_fpv,161,0,16,4,74,FPV AOS 5 V5 Arm Guards FPV,86,0,22,4,31,"itsFPV Era Mini 3.5"" Bando Boot Arm Guard",247,0,38,
FPV drone antenna / VTX mount,drone_fpv,420,0,30,4,274,FPV antenna mount,100,0,7,4,66,Reptile Cloud-149 SMA & Immortal-T Antenna Mount,520,0,37,
Automotive interior trim clip replacement,automotive,520,11,82,4,411,Cable Clip insert for car trim,30,0,7,4,10,Car trim clip,550,11,89,
Automotive phone/tablet mount bracket,automotive,6223,43,872,4,5217,"Car phone holder, car phone mount",511,0,175,4,268,Mobile Car Phone Holder,6734,43,1047,
Automotive cable routing bracket,automotive,862,15,116,4,411,Cable Clip insert for car trim,301,0,13,4,296,"wire management bracket - small, simple, fast - model railroad",1163,15,129,
UTV GoPro / accessory mount,atv_utv,ERR,ERR,ERR,0,ERR,,64,0,7,1,64,"Gopro style mount roll bar (1.875"") mount using hose clamp",64,0,7,printables:no models found
UTV cup holder / storage bracket,atv_utv,847,6,83,4,570,RZR Grab handle cup holder with inserts,38,0,14,4,31,UTV Fire Extinguisher Mount,885,6,97,
UTV snorkel / vent mount bracket,atv_utv,494,1,32,2,348,Atv snorkel,74,0,17,4,31,UTV Fire Extinguisher Mount,568,1,49,
