product,trends_avg_interest_0_100,trends_recent_vs_prior_pct_change
Rad Power Bikes battery terminal / fuse cover,0,
Rad Power charging port dust cap,0,
Rad Power cargo net hooks,0,
Rad Power kickstand foot / base widener,0,
Rad Power display / phone mount,0,
MTB chain guide / bash guard,0,
MTB cable/hose routing clips,0,
MTB frame protector / chainstay guard,0,
GoPro / action cam mount for MTB helmet or bars,0,
Fender / mudguard bracket,0,
FPV drone GoPro / action-cam mount,0,
FPV drone arm / frame crash guard,0,
FPV drone antenna / VTX mount,0,
Automotive interior trim clip replacement,0,
Automotive phone/tablet mount bracket,0,
Automotive cable routing bracket,0,
UTV GoPro / accessory mount,0,
UTV cup holder / storage bracket,0,
UTV snorkel / vent mount bracket,0,
